"Country","Operator","TADIG code","MCC/MNC","Tags","LTE Status Outbound","LTE Date Outbound","5G NSA Status Outbound","5G NSA Date Outbound"
"Afghanistan","Afghan Wireless Communication Company","AFGAW","41201",,"Live","2019-05-30","N/A",
"Albania","One Albania sh.a","ALBAM","27601",,"Live","2016-05-06","Live","2025-08-12"
"Albania","One Albania sh.a","ALBEM","27603",,"Live","2017-10-12","Live","2025-08-12"
"Albania","Vodafone Albania","ALBVF","27602",,"Live","2018-11-22","N/A",
"Algeria","ATM Mobilis","DZAA1","60301",,"Live","2018-02-05","N/A",
"Algeria","Djezzy","DZAOT","60302",,"Live","2021-10-07","N/A",
"Algeria","Ooredoo Algérie","DZAWT","60303",,"Live","2023-09-21","Live","2025-12-08"
"Andorra","Andorra Telecom","ANDMA","21303",,"Live","2025-06-13","Live","2025-06-13"
"Angola","Africell Angola S.A.","AGOAC","63105","HRVCN_HUB","Live","2023-11-24","N/A",
"Angola","Unitel S.A.","AGOUT","63102","HRVCN_HUB","Live","2026-05-11","N/A",
"Anguilla","FLOW Anguilla","AIACW","365840","HRVCN_HUB","Live","2016-12-12","N/A",
"Antigua and Barbuda","FLOW Antigua","ATGCW","344920","HRVCN_HUB","Live","2016-10-24","N/A",
"Argentina","Personal Argentina","ARGTP","72234",,"Live","2021-01-20","Live","2024-03-14"
"Armenia","Team Telecom Armenia","ARM01","28301",,"Live","2024-03-08","N/A",
"Armenia","Viva Armenia","ARM05","28305",,"Live","2020-12-10","Live","2025-05-20"
"Australia","SingTel Optus Pty Limited","AUSOP","50502",,"Live","2016-05-16","Live","2023-08-02"
"Australia","Telstra Limited","AUSTA","50501",,"Live","2016-06-30","Live","2025-11-12"
"Australia","Vodafone Australia","AUSVF","50503",,"Live","2018-10-03","Live","2025-10-29"
"Austria","3 Austria","AUTCA","23205","TMHR EU regulated","Live","2015-08-26","Live","2022-09-01"
"Austria","A1 Telekom Austria AG","AUTPT","23201","TMHR EU regulated","Live","2019-10-25","Live","2022-11-16"
"Austria","T-Mobile Austria","AUTMM","23203","TMHR EU regulated","Live","2015-11-30","Live","2021-09-27"
"Azerbaijan","Azercell Telecom LLC","AZEAC","40001",,"Live","2024-08-12","N/A",
"Azerbaijan","Bakcell Limited Liable Company","AZEBC","40002",,"Live","2016-04-20","Terminated","2026-03-02"
"Bahamas","Aliv","BHSNC","36449","HRVCN_HUB","Live","2020-07-22","N/A",
"Bahamas","The Bahamas Telecommunications Company Ltd.","BHSBH","36439",,"Live","2024-12-11","N/A",
"Bahrain","BEYON","BHRBT","42601",,"Live","2024-02-01","Live","2024-02-01"
"Bahrain","stc Bahrain","BHRST","42604",,"Live","2022-01-20","Live","2023-03-14"
"Bahrain","Zain Bahrain","BHRMV","42602",,"Live","2021-10-14","Live","2022-01-21"
"Barbados","FLOW Barbados","BRBCW","342600","HRVCN_HUB","Live","2017-12-07","N/A",
"Belarus","JLLC Mobile TeleSystems","BLR02","25702",,"Live","2025-02-19","N/A",
"Belgium","ORANGE Belgium NV/SA","BELMO","20610","TMHR EU regulated","Live","2016-03-14","Live","2023-08-31"
