ISO3,Provider,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,SpecialOffer_old,SpecialOffer_new
ALB,orange,30,20,changed,price,48.39,48.99,,
AND,orange,7,1,new,,,5.99,,
AND,orange,7,3,new,,,10.99,,
AND,orange,7,5,new,,,13.99,,
AND,orange,7,10,new,,,19.99,,
AND,orange,14,10,new,,,20.99,,
AND,orange,14,20,new,,,26.99,,
AND,orange,30,20,new,,,27.99,,
AND,orange,30,50,new,,,43.99,,
AND,orange,30,100,new,,,50.99,,30% OFF
AND,orange,45,100,new,,,51.99,,30% OFF
AND,orange,45,200,new,,,86.99,,20% OFF
AND,orange,90,500,new,,,134.99,,40% OFF
ARG,airalo,3,9,changed,price,5.0,20.0,,
ARG,airalo,7,21,changed,price,10.0,35.0,,
ARG,airalo,15,45,deleted,,16.5,,,
ARG,airalo,30,90,deleted,,17.0,,,
ARM,saily,7,1,changed,price,5.99,8.99,,
AUS,orange,14,20,changed,price+promo,19.99,14.99,30% OFF,50% OFF
AUS,saily,7,1,new,,,3.99,,
AUS,saily,30,3,new,,,7.99,,
AUT,orange,7,3,new,,,10.99,,
AUT,orange,7,4,deleted,,9.99,,,
AUT,orange,7,5,new,,,13.99,,
AUT,orange,7,10,new,,,19.99,,
AUT,orange,14,10,new,,,20.99,,
AUT,orange,14,20,changed,price,23.99,26.99,,
AUT,orange,30,20,new,,,27.99,,
AUT,orange,30,50,changed,price,47.99,43.99,,
AUT,orange,30,100,changed,price,49.99,50.99,30% OFF,30% OFF
AUT,orange,30,200,deleted,,61.99,,35% OFF,
AUT,orange,45,100,new,,,51.99,,30% OFF
AUT,orange,45,200,new,,,86.99,,20% OFF
AUT,orange,90,500,changed,price+promo,119.99,134.99,41% OFF,40% OFF
BEL,orange,7,1,changed,price,7.99,5.99,,
BEL,orange,7,3,changed,price,9.99,10.99,,
BEL,orange,7,5,changed,price,14.99,13.99,,
BEL,orange,7,10,new,,,19.99,,
BEL,orange,14,10,changed,price,19.99,20.99,,
BEL,orange,14,20,changed,price,23.99,26.99,,
BEL,orange,30,20,new,,,27.99,,
BEL,orange,30,50,changed,price,47.99,43.99,,
BEL,orange,30,100,changed,price,49.99,50.99,30% OFF,30% OFF
BEL,orange,30,200,deleted,,76.99,,,
BEL,orange,45,100,new,,,51.99,,30% OFF
BEL,orange,45,200,changed,price,71.99,86.99,20% OFF,20% OFF
BEL,orange,90,500,changed,price,122.99,134.99,40% OFF,40% OFF
BES,saily,7,1,deleted,,9.99,,,
BES,saily,30,3,deleted,,22.99,,,
BES,saily,30,5,deleted,,29.99,,,
BGR,orange,7,3,new,,,10.99,,
BGR,orange,7,5,new,,,13.99,,
BGR,orange,7,10,new,,,19.99,,
BGR,orange,14,10,new,,,20.99,,
BGR,orange,14,20,new,,,26.99,,
BGR,orange,30,20,new,,,27.99,,
BGR,orange,30,50,new,,,43.99,,
BGR,orange,30,100,changed,price,49.99,50.99,30% OFF,30% OFF
BGR,orange,30,200,deleted,,61.99,,35% OFF,
BGR,orange,45,100,new,,,51.99,,30% OFF
BGR,orange,45,200,new,,,86.99,,20% OFF
BGR,orange,90,500,changed,price+promo,119.99,134.99,41% OFF,40% OFF
BRA,airalo,3,3,changed,price,9.5,9.0,,
BRA,airalo,3,9,changed,price,11.5,11.0,,
BRA,airalo,5,15,changed,price,18.5,18.0,,
BRA,airalo,7,3,changed,price,10.0,9.5,,
BRA,airalo,7,5,changed,price,13.0,12.0,,
BRA,airalo,7,10,changed,price,23.0,20.0,,
BRA,airalo,7,21,changed,price,26.5,25.0,,
BRA,airalo,15,5,changed,price,13.5,12.5,,
BRA,airalo,15,10,changed,price,23.5,21.0,,
BRA,airalo,15,20,changed,price,37.0,35.0,,
BRA,airalo,15,45,changed,price,49.0,46.0,,
BRA,airalo,30,5,changed,price,14.0,13.0,,
BRA,airalo,30,10,changed,price,25.0,23.0,,
BRA,airalo,30,20,changed,price,38.0,36.0,,
BRA,airalo,30,90,changed,price,89.0,85.0,,
BRA,holafly,1,3,changed,price,8.5,7.9,,
