ISO3,Provider,Plan,Days,GB,ChangeType,ChangeReason,Price_old,Price_new,Currency_old,Currency_new,usd_price_old,usd_price_new,eur_price_old,eur_price_new,SpecialOffer_old,SpecialOffer_new
AND,holafly,Unlimited,1,3,new,,,5.9,,USD,,5.9,,5.9,,
AND,holafly,Unlimited,2,6,new,,,9.5,,USD,,9.5,,8.9,,
AND,holafly,Unlimited,3,9,new,,,12.5,,USD,,12.5,,11.9,,
AND,holafly,Unlimited,4,12,new,,,16.5,,USD,,16.5,,14.9,,
AND,holafly,Unlimited,5,15,new,,,20.5,,USD,,20.5,,18.5,,
AND,holafly,Unlimited,6,18,new,,,23.9,,USD,,23.9,,21.9,,
AND,holafly,Unlimited,7,21,new,,,27.5,,USD,,27.5,,25.5,,
AND,holafly,Unlimited,8,24,new,,,30.9,,USD,,30.9,,28.9,,
AND,holafly,Unlimited,9,27,new,,,33.9,,USD,,33.9,,31.9,,
AND,holafly,Unlimited,10,30,new,,,36.5,,USD,,36.5,,33.9,,
AND,holafly,Unlimited,11,33,new,,,39.5,,USD,,39.5,,36.9,,
AND,holafly,Unlimited,12,36,new,,,42.9,,USD,,42.9,,39.9,,
AND,holafly,Unlimited,13,39,new,,,44.9,,USD,,44.9,,41.9,,
AND,holafly,Unlimited,14,42,new,,,47.5,,USD,,47.5,,43.9,,
AND,holafly,Unlimited,15,45,new,,,50.5,,USD,,50.5,,46.9,,
AND,holafly,Unlimited,16,48,new,,,52.5,,USD,,52.5,,48.9,,
AND,holafly,Unlimited,17,51,new,,,52.9,,USD,,52.9,,49.5,,
AND,holafly,Unlimited,18,54,new,,,55.9,,USD,,55.9,,51.9,,
AND,holafly,Unlimited,19,57,new,,,57.9,,USD,,57.9,,54.5,,
AND,holafly,Unlimited,20,60,new,,,60.9,,USD,,60.9,,56.9,,
AND,holafly,Unlimited,21,63,new,,,63.5,,USD,,63.5,,58.9,,
AND,holafly,Unlimited,22,66,new,,,64.5,,USD,,64.5,,59.9,,
AND,holafly,Unlimited,23,69,new,,,65.5,,USD,,65.5,,60.9,,
AND,holafly,Unlimited,24,72,new,,,66.5,,USD,,66.5,,61.9,,
AND,holafly,Unlimited,25,75,new,,,67.9,,USD,,67.9,,62.9,,
AND,holafly,Unlimited,26,78,new,,,68.9,,USD,,68.9,,63.9,,
AND,holafly,Unlimited,27,81,new,,,69.9,,USD,,69.9,,64.9,,
AND,holafly,Unlimited,28,84,new,,,70.9,,USD,,70.9,,65.9,,
AND,holafly,Unlimited,29,87,new,,,71.9,,USD,,71.9,,66.9,,
AND,holafly,Unlimited,30,90,new,,,73.9,,USD,,73.9,,68.9,,
ARE,holafly,Unlimited,1,3,changed,price,6.9,5.9,USD,USD,6.9,5.9,5.9,5.9,,
ARE,holafly,Unlimited,2,6,changed,price,9.9,9.5,USD,USD,9.9,9.5,8.9,8.9,,
ARE,holafly,Unlimited,3,9,changed,price,12.9,12.5,USD,USD,12.9,12.5,11.9,11.9,,
ARE,holafly,Unlimited,4,12,changed,price,16.9,16.5,USD,USD,16.9,16.5,14.9,14.9,,
ARE,holafly,Unlimited,5,15,changed,price,20.9,20.5,USD,USD,20.9,20.5,18.9,18.5,,
ARE,holafly,Unlimited,6,18,changed,price,24.9,23.9,USD,USD,24.9,23.9,22.9,21.9,,
ARE,holafly,Unlimited,7,21,changed,price,29.9,27.5,USD,USD,29.9,27.5,26.9,25.5,,
ARE,holafly,Unlimited,8,24,changed,price,31.9,30.9,USD,USD,31.9,30.9,28.9,28.9,,
ARE,holafly,Unlimited,9,27,changed,price,34.9,33.9,USD,USD,34.9,33.9,31.9,31.9,,
ARE,holafly,Unlimited,10,30,changed,price,36.9,36.5,USD,USD,36.9,36.5,33.9,33.9,,
