ISO3,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
BRA,45,0,0,45,45.0,0,0.0
MCO,31,31,0,0,,0,
COL,30,0,0,30,30.0,0,0.0
ITA,29,3,0,26,25.0,0,1.0
CHE,19,9,5,5,4.0,0,1.0
DEU,17,8,4,5,4.0,0,1.0
ESP,17,0,0,17,17.0,0,0.0
USA,15,0,0,15,15.0,0,0.0
DNK,14,8,2,4,3.0,0,1.0
MEX,14,0,0,14,14.0,0,0.0
NLD,14,7,1,6,5.0,0,1.0
AUT,13,7,2,4,3.0,0,1.0
BEL,13,3,1,9,9.0,0,0.0
CYP,13,7,2,4,3.0,0,1.0
CZE,13,7,2,4,3.0,0,1.0
EST,13,7,2,4,3.0,0,1.0
FIN,13,7,2,4,3.0,0,1.0
GBR,13,5,2,6,4.0,0,2.0
GRC,13,8,1,4,3.0,0,1.0
HRV,13,7,2,4,3.0,0,1.0
HUN,13,7,2,4,3.0,0,1.0
IRL,13,6,2,5,4.0,0,1.0
ISL,13,6,1,6,5.0,0,1.0
LIE,13,7,2,4,3.0,0,1.0
LTU,13,7,2,4,3.0,0,1.0
LUX,13,7,1,5,5.0,0,0.0
LVA,13,7,2,4,3.0,0,1.0
MLT,13,7,2,4,3.0,0,1.0
NOR,13,7,2,4,3.0,0,1.0
ROU,13,7,2,4,3.0,0,1.0
SVK,13,7,2,4,3.0,0,1.0
SVN,13,7,2,4,3.0,0,1.0
SWE,13,7,2,4,3.0,0,1.0
AND,12,12,0,0,,0,
BGR,12,9,1,2,1.0,0,1.0
PRT,12,3,1,8,7.0,0,1.0
ARG,4,0,2,2,2.0,0,0.0
AUS,3,2,0,1,0.0,0,1.0
BES,3,0,3,0,,0,
ISR,3,0,0,3,3.0,0,0.0
ALB,1,0,0,1,1.0,0,0.0
ARM,1,0,0,1,1.0,0,0.0
DZA,1,0,0,1,1.0,0,0.0
EGY,1,0,0,1,1.0,0,0.0
IDN,1,0,0,1,0.0,0,1.0
MAR,1,0,0,1,1.0,0,0.0
MYS,1,0,0,1,0.0,0,1.0
OMN,1,0,0,1,1.0,0,0.0
POL,1,0,1,0,,0,
THA,1,0,0,1,0.0,0,1.0
TUN,1,1,0,0,,0,
VNM,1,0,0,1,0.0,0,1.0
