ISO3,TotalChanges,New,Deleted,Changed,Price,Promo,Price+Promo
SGP,36,36,0,0,,0,0
MLI,31,30,1,0,,0,0
AND,30,30,0,0,,0,0
ARM,30,30,0,0,,0,0
AUT,30,30,0,0,,0,0
AZE,30,30,0,0,,0,0
BEL,30,30,0,0,,0,0
BGR,30,30,0,0,,0,0
BLZ,30,30,0,0,,0,0
BRA,30,0,0,30,30.0,0,0
BWA,30,30,0,0,,0,0
CHL,30,30,0,0,,0,0
COD,30,30,0,0,,0,0
COL,30,0,0,30,30.0,0,0
CRI,30,30,0,0,,0,0
CYP,30,30,0,0,,0,0
CZE,30,30,0,0,,0,0
DNK,30,30,0,0,,0,0
DZA,30,30,0,0,,0,0
ECU,30,30,0,0,,0,0
EGY,30,0,0,30,30.0,0,0
ESP,30,0,0,30,30.0,0,0
EST,30,30,0,0,,0,0
FIN,30,30,0,0,,0,0
FRA,30,1,0,29,29.0,0,0
GHA,30,30,0,0,,0,0
GRC,30,30,0,0,,0,0
GTM,30,30,0,0,,0,0
HRV,30,30,0,0,,0,0
HUN,30,30,0,0,,0,0
IRL,30,30,0,0,,0,0
ISL,30,30,0,0,,0,0
ISR,30,30,0,0,,0,0
ITA,30,0,0,30,30.0,0,0
JOR,30,30,0,0,,0,0
KEN,30,30,0,0,,0,0
KHM,30,30,0,0,,0,0
LAO,30,30,0,0,,0,0
LBR,30,30,0,0,,0,0
LIE,30,30,0,0,,0,0
LKA,30,30,0,0,,0,0
LTU,30,30,0,0,,0,0
LUX,30,30,0,0,,0,0
LVA,30,30,0,0,,0,0
MAC,30,30,0,0,,0,0
MLT,30,30,0,0,,0,0
MUS,30,30,0,0,,0,0
MYS,30,30,0,0,,0,0
NIC,30,30,0,0,,0,0
NOR,30,30,0,0,,0,0
OMN,30,30,0,0,,0,0
PAK,30,30,0,0,,0,0
PAN,30,30,0,0,,0,0
PER,30,30,0,0,,0,0
POL,30,30,0,0,,0,0
PRI,30,30,0,0,,0,0
PRT,30,30,0,0,,0,0
PRY,30,30,0,0,,0,0
QAT,30,30,0,0,,0,0
ROU,30,30,0,0,,0,0
SAU,30,30,0,0,,0,0
SEN,30,30,0,0,,0,0
SLV,30,30,0,0,,0,0
SVK,30,30,0,0,,0,0
SVN,30,30,0,0,,0,0
SWE,30,30,0,0,,0,0
TUN,30,30,0,0,,0,0
TZA,30,30,0,0,,0,0
URY,30,30,0,0,,0,0
ZAF,30,30,0,0,,0,0
ARG,29,0,0,29,29.0,0,0
CHN,29,0,0,29,29.0,0,0
DEU,29,0,0,29,29.0,0,0
IDN,29,0,0,29,29.0,0,0
JPN,29,0,0,29,29.0,0,0
KOR,29,0,0,29,29.0,0,0
MEX,29,0,0,29,29.0,0,0
NLD,29,0,0,29,29.0,0,0
THA,29,0,0,29,29.0,0,0
AUS,28,0,0,28,28.0,0,0
GBR,28,0,0,28,28.0,0,0
MAR,28,0,0,28,28.0,0,0
NGA,28,0,0,28,28.0,0,0
NZL,28,0,0,28,28.0,0,0
PHL,28,0,0,28,28.0,0,0
TCD,28,0,0,28,28.0,0,0
TUR,28,0,0,28,28.0,0,0
VNM,28,0,0,28,28.0,0,0
CHE,21,0,0,21,21.0,0,0
ARE,20,0,0,20,20.0,0,0
FJI,20,20,0,0,,0,0
PNG,20,20,0,0,,0,0
TON,20,20,0,0,,0,0
CAN,16,0,0,16,16.0,0,0
TWN,1,0,0,1,1.0,0,0
