"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","1","10.9","USD","","","2026-06-15","TCD","49626903249232","Chad","9.9","10.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","2","19.9","USD","","","2026-06-15","TCD","49626903282000","Chad","17.9","19.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","3","24.9","USD","","","2026-06-15","TCD","49626903314768","Chad","22.9","24.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","4","30.9","USD","","","2026-06-15","TCD","49626903347536","Chad","27.9","30.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","5","32.9","USD","","","2026-06-15","TCD","47350466576720","Chad","29.9","32.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","6","37.9","USD","","","2026-06-15","TCD","49626903380304","Chad","34.9","37.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","7","40.9","USD","","","2026-06-15","TCD","47350466609488","Chad","37.9","40.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","8","43.9","USD","","","2026-06-15","TCD","49626903413072","Chad","39.9","43.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","9","46.9","USD","","","2026-06-15","TCD","49626903445840","Chad","42.9","46.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","10","48.9","USD","","","2026-06-15","TCD","47350466642256","Chad","44.9","48.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","11","52.9","USD","","","2026-06-15","TCD","49626903478608","Chad","48.9","52.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","12","56.9","USD","","","2026-06-15","TCD","49626903511376","Chad","51.9","56.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","13","59.9","USD","","","2026-06-15","TCD","49626903544144","Chad","54.9","59.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","14","62.9","USD","","","2026-06-15","TCD","49626903576912","Chad","57.9","62.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","15","64.9","USD","","","2026-06-15","TCD","47350466675024","Chad","59.9","64.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","16","69.9","USD","","","2026-06-15","TCD","49626903609680","Chad","63.9","69.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","17","72.9","USD","","","2026-06-15","TCD","49626903642448","Chad","66.9","72.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","18","75.9","USD","","","2026-06-15","TCD","49626903675216","Chad","69.9","75.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","19","78.9","USD","","","2026-06-15","TCD","49626903707984","Chad","72.9","78.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","20","80.9","USD","","","2026-06-15","TCD","47350466707792","Chad","74.9","80.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","21","85.9","USD","","","2026-06-15","TCD","49626903740752","Chad","78.9","85.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","22","88.9","USD","","","2026-06-15","TCD","49626903773520","Chad","81.9","88.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","23","91.9","USD","","","2026-06-15","TCD","49626903806288","Chad","84.9","91.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","24","94.9","USD","","","2026-06-15","TCD","49626903839056","Chad","87.9","94.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","25","98.9","USD","","","2026-06-15","TCD","49626903871824","Chad","90.9","98.9"
"holafly","Chad","TD","Chad","https://esim.holafly.com/esim-chad/","Unlimited","Unlimited","26","101.9","USD","","","2026-06-15","TCD","49626903904592","Chad","93.9","101.9"
