Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Currency,Price_USD,Price_EUR,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoCurrency,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CalculatedCostFloor,IsBelowCostFloor
HT,,Afghanistan,AF,,0.5,1.0,3.55,USD,3.55,3.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|1,,,,,,,3.55,1.7314314091716483,False
HT,,Afghanistan,AF,,1.0,2.0,4.85,USD,4.85,4.4,Basic,AF,iso_only,,"[""AF""]",AF|Basic|2,,,,,,,4.85,2.791918730287741,False
HT,,Afghanistan,AF,,1.25,3.0,5.7,USD,5.7,5.2,Basic,AF,iso_only,,"[""AF""]",AF|Basic|3,,,,,,,5.7,3.3327006624507254,False
HT,,Afghanistan,AF,,1.75,4.0,7.1,USD,7.1,6.45,Basic,AF,iso_only,,"[""AF""]",AF|Basic|4,,,,,,,7.1,4.398457119369287,False
HT,,Afghanistan,AF,,2.25,5.0,8.5,USD,8.5,7.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|5,,,,,,,8.5,5.4642135762878485,False
HT,,Afghanistan,AF,,2.5,6.0,9.3,USD,9.3,8.45,Basic,AF,iso_only,,"[""AF""]",AF|Basic|6,,,,,,,9.3,6.002360940549599,False
HT,,Afghanistan,AF,,3.0,7.0,10.75,USD,10.75,9.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|7,,,,,,,10.75,7.070751965369396,False
HT,,Afghanistan,AF,,3.25,8.0,11.55,USD,11.55,10.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|8,,,,,,,11.55,7.608899329631145,False
HT,,Afghanistan,AF,,3.75,9.0,12.95,USD,12.95,11.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|9,,,,,,,12.95,8.674655786549708,False
HT,,Afghanistan,AF,,4.0,10.0,13.7,USD,13.7,12.45,Basic,AF,iso_only,,"[""AF""]",AF|Basic|10,,,,,,,13.7,9.210168582910223,False
HT,,Afghanistan,AF,,4.5,11.0,15.1,USD,15.1,13.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|11,,,,,,,15.1,10.275925039828785,False
HT,,Afghanistan,AF,,4.75,12.0,15.8,USD,15.8,14.35,Basic,AF,iso_only,,"[""AF""]",AF|Basic|12,,,,,,,15.8,10.808803268288065,False
HT,,Afghanistan,AF,,5.25,13.0,17.15,USD,17.15,15.6,Basic,AF,iso_only,,"[""AF""]",AF|Basic|13,,,,,,,17.15,11.871925157305393,False
HT,,Afghanistan,AF,,5.5,14.0,17.85,USD,17.85,16.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|14,,,,,,,17.85,12.404803385764675,False
HT,,Afghanistan,AF,,6.0,15.0,19.1,USD,19.1,17.35,Basic,AF,iso_only,,"[""AF""]",AF|Basic|15,,,,,,,19.1,13.462656138979535,False
HT,,Afghanistan,AF,,6.5,16.0,20.35,USD,20.35,18.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|16,,,,,,,20.35,14.52050889219439,False
HT,,Afghanistan,AF,,6.75,17.0,21.0,USD,21.0,19.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|17,,,,,,,21.0,15.050752552752439,False
HT,,Afghanistan,AF,,7.25,18.0,22.2,USD,22.2,20.2,Basic,AF,iso_only,,"[""AF""]",AF|Basic|18,,,,,,,22.2,16.10597073806606,False
HT,,Afghanistan,AF,,7.5,19.0,22.75,USD,22.75,20.7,Basic,AF,iso_only,,"[""AF""]",AF|Basic|19,,,,,,,22.75,16.630945262821637,False
HT,,Afghanistan,AF,,8.0,20.0,23.9,USD,23.9,21.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|20,,,,,,,23.9,17.68352888023403,False
HT,,Afghanistan,AF,,8.25,21.0,24.45,USD,24.45,22.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|21,,,,,,,24.45,18.208503404989603,False
HT,,Afghanistan,AF,,8.75,22.0,25.55,USD,25.55,23.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|22,,,,,,,25.55,19.258452454500755,False
HT,,Afghanistan,AF,,9.0,23.0,26.0,USD,26.0,23.65,Basic,AF,iso_only,,"[""AF""]",AF|Basic|23,,,,,,,26.0,19.778157843453865,False
HT,,Afghanistan,AF,,9.5,24.0,27.05,USD,27.05,24.6,Basic,AF,iso_only,,"[""AF""]",AF|Basic|24,,,,,,,27.05,20.825472325063785,False
HT,,Afghanistan,AF,,9.75,25.0,27.5,USD,27.5,25.0,Basic,AF,iso_only,,"[""AF""]",AF|Basic|25,,,,,,,27.5,21.345177714016895,False
HT,,Afghanistan,AF,,10.25,26.0,28.45,USD,28.45,25.85,Basic,AF,iso_only,,"[""AF""]",AF|Basic|26,,,,,,,28.45,22.387223059824347,False
HT,,Afghanistan,AF,,10.5,27.0,28.9,USD,28.9,26.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|27,,,,,,,28.9,22.906928448777453,False
HT,,Afghanistan,AF,,11.0,28.0,29.8,USD,29.8,27.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|28,,,,,,,29.8,23.946339226683666,False
