Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Currency,Price_USD,Price_EUR,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoCurrency,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,EUR_TO_USD,COST_EUR_TO_USD,CalculatedCostFloor,IsBelowCalculatedCostFloor
HT,,Afghanistan,AF,,0.5,1.0,3.55,USD,3.55,3.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|1,,,,,,,3.55,1.1,1.1394,1.732923823119643,False
HT,,Afghanistan,AF,,1.0,2.0,4.85,USD,4.85,4.4,Basic,AF,iso_only,,"[""AF""]",AF|Basic|2,,,,,,,4.85,1.1,1.1394,2.79436975568373,False
HT,,Afghanistan,AF,,1.25,3.0,5.7,USD,5.7,5.2,Basic,AF,iso_only,,"[""AF""]",AF|Basic|3,,,,,,,5.7,1.1,1.1394,3.335630993570712,False
HT,,Afghanistan,AF,,1.75,4.0,7.1,USD,7.1,6.45,Basic,AF,iso_only,,"[""AF""]",AF|Basic|4,,,,,,,7.1,1.1,1.1394,4.402346061937268,False
HT,,Afghanistan,AF,,2.25,5.0,8.5,USD,8.5,7.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|5,,,,,,,8.5,1.1,1.1394,5.4690611303038255,False
HT,,Afghanistan,AF,,2.5,6.0,9.3,USD,9.3,8.45,Basic,AF,iso_only,,"[""AF""]",AF|Basic|6,,,,,,,9.3,1.1,1.1394,6.007687800289572,False
HT,,Afghanistan,AF,,3.0,7.0,10.75,USD,10.75,9.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|7,,,,,,,10.75,1.1,1.1394,7.077037436557363,False
HT,,Afghanistan,AF,,3.25,8.0,11.55,USD,11.55,10.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|8,,,,,,,11.55,1.1,1.1394,7.615664106543111,False
HT,,Afghanistan,AF,,3.75,9.0,12.95,USD,12.95,11.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|9,,,,,,,12.95,1.1,1.1394,8.682379174909666,False
HT,,Afghanistan,AF,,4.0,10.0,13.7,USD,13.7,12.45,Basic,AF,iso_only,,"[""AF""]",AF|Basic|10,,,,,,,13.7,1.1,1.1394,9.218371276994178,False
HT,,Afghanistan,AF,,4.5,11.0,15.1,USD,15.1,13.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|11,,,,,,,15.1,1.1,1.1394,10.285086345360737,False
HT,,Afghanistan,AF,,4.75,12.0,15.8,USD,15.8,14.35,Basic,AF,iso_only,,"[""AF""]",AF|Basic|12,,,,,,,15.8,1.1,1.1394,10.818443879544015,False
HT,,Afghanistan,AF,,5.25,13.0,17.15,USD,17.15,15.6,Basic,AF,iso_only,,"[""AF""]",AF|Basic|13,,,,,,,17.15,1.1,1.1394,11.882524380009336,False
HT,,Afghanistan,AF,,5.5,14.0,17.85,USD,17.85,16.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|14,,,,,,,17.85,1.1,1.1394,12.415881914192616,False
HT,,Afghanistan,AF,,6.0,15.0,19.1,USD,19.1,17.35,Basic,AF,iso_only,,"[""AF""]",AF|Basic|15,,,,,,,19.1,1.1,1.1394,13.474693278855469,False
HT,,Afghanistan,AF,,6.5,16.0,20.35,USD,20.35,18.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|16,,,,,,,20.35,1.1,1.1394,14.53350464351832,False
HT,,Afghanistan,AF,,6.75,17.0,21.0,USD,21.0,19.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|17,,,,,,,21.0,1.1,1.1394,15.064227609800366,False
HT,,Afghanistan,AF,,7.25,18.0,22.2,USD,22.2,20.2,Basic,AF,iso_only,,"[""AF""]",AF|Basic|18,,,,,,,22.2,1.1,1.1394,16.120404406561985,False
HT,,Afghanistan,AF,,7.5,19.0,22.75,USD,22.75,20.7,Basic,AF,iso_only,,"[""AF""]",AF|Basic|19,,,,,,,22.75,1.1,1.1394,16.645858237041555,False
HT,,Afghanistan,AF,,8.0,20.0,23.9,USD,23.9,21.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|20,,,,,,,23.9,1.1,1.1394,17.69940046590194,False
HT,,Afghanistan,AF,,8.25,21.0,24.45,USD,24.45,22.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|21,,,,,,,24.45,1.1,1.1394,18.224854296381515,False
HT,,Afghanistan,AF,,8.75,22.0,25.55,USD,25.55,23.25,Basic,AF,iso_only,,"[""AF""]",AF|Basic|22,,,,,,,25.55,1.1,1.1394,19.275761957340663,False
HT,,Afghanistan,AF,,9.0,23.0,26.0,USD,26.0,23.65,Basic,AF,iso_only,,"[""AF""]",AF|Basic|23,,,,,,,26.0,1.1,1.1394,19.79594665201777,False
HT,,Afghanistan,AF,,9.5,24.0,27.05,USD,27.05,24.6,Basic,AF,iso_only,,"[""AF""]",AF|Basic|24,,,,,,,27.05,1.1,1.1394,20.844219745075684,False
