Provider,ProviderCountry,ISO,Country,URL,Plan,GB,Days,Price,Currency,SpecialOffer,OfferPonder,PriceDate,ISO3,variant_id,name,eur_price,usd_price,source,_original_row,NeighborCount,LocalRefPrice,MarketRatio,RowFlag,RowReason,MatchedOffers,MedianRatio,MaxRatio,FlaggedRows,ProviderStatus,UseForPricing
holafly,Algeria,DZ,Algeria,https://esim.holafly.com/esim-algeria/,Unlimited,54.0,18.0,73.9,USD,,,2026-06-29,DZA,holafly-DZA-unlimited-18,Algeria,68.9,73.9,,2183,3,13.999999999999996,5.27857142857143,True,far_from_local_market,29,1.5846153846153848,5.964285714285716,4,Kept,True
holafly,Algeria,DZ,Algeria,https://esim.holafly.com/esim-algeria/,Unlimited,57.0,19.0,77.5,USD,,,2026-06-29,DZA,holafly-DZA-unlimited-19,Algeria,71.9,77.5,,2184,3,13.999999999999996,5.535714285714287,True,far_from_local_market,29,1.5846153846153848,5.964285714285716,4,Kept,True
holafly,Algeria,DZ,Algeria,https://esim.holafly.com/esim-algeria/,Unlimited,60.0,20.0,79.9,USD,,,2026-06-29,DZA,holafly-DZA-unlimited-20,Algeria,73.9,79.9,,2185,3,13.999999999999996,5.707142857142859,True,far_from_local_market,29,1.5846153846153848,5.964285714285716,4,Kept,True
holafly,Algeria,DZ,Algeria,https://esim.holafly.com/esim-algeria/,Unlimited,63.0,21.0,83.5,USD,,,2026-06-29,DZA,holafly-DZA-unlimited-21,Algeria,77.5,83.5,,2186,3,13.999999999999996,5.964285714285716,True,far_from_local_market,29,1.5846153846153848,5.964285714285716,4,Kept,True
orange,Iraq,IQ,Iraq,https://travel.orange.com/en/buy-a-sim/offers/iraq,Data+Calls+SMS-10,10.0,30.0,106.99,USD,,,2026-06-29,IRQ,data-calls-sms-10-10-30days-nooffer,10GB Texts 50 Calls 15min $106.99 USD Details,,106.99,,5669,3,28.990000000000002,3.6905829596412554,True,far_from_local_market,8,2.446035267549486,3.6905829596412554,1,Kept,True
vodafone,MONACO,MC,Monaco,,Standard,3.0,15.0,34.0,USD,N,1.0,2026-06-25,MCO,,3 GB 15 Days (MONACO),29.0,34.0,,7944,3,11.000000000000002,3.0909090909090904,True,far_from_local_market,1,3.0909090909090904,3.0909090909090904,1,Kept,True
orange,New Zealand,NZ,New Zealand,https://travel.orange.com/en/buy-a-sim/offers/new-zealand,Data+Calls+SMS-5,5.0,30.0,41.99,USD,,,2026-06-29,NZL,data-calls-sms-5-5-30days-nooffer,5GB Texts 50 Calls 15min $41.99 USD Details,,41.99,,6095,3,13.99,3.0014295925661187,True,far_from_local_market,17,1.020851063829787,3.0014295925661187,1,Kept,True
orange,Africa,ZA,South Africa,https://travel.orange.com/en/buy-a-sim/offers/africa,Data+Calls+SMS-5,5.0,7.0,33.99,USD,,,2026-06-29,ZAF,data-calls-sms-5-5-7days-nooffer,5GB $33.99 USD Details,,33.99,,4918,3,9.500000000000002,3.577894736842105,True,far_from_local_market,19,1.2171739130434782,3.577894736842105,1,Kept,True
orange,Thailand,TH,Thailand,https://travel.orange.com/en/buy-a-sim/offers/thailand,Data+Calls+SMS-5,5.0,7.0,27.99,USD,,,2026-06-29,THA,data-calls-sms-5-5-7days-nooffer,5GB Texts 30 Calls 15min $27.99 USD Details,,27.99,,6540,3,6.999999999999999,3.9985714285714287,True,far_from_local_market,17,1.2475,3.9985714285714287,2,Kept,True
orange,Thailand,TH,Thailand,https://travel.orange.com/en/buy-a-sim/offers/thailand,Data+Calls+SMS-10,10.0,14.0,35.99,USD,,,2026-06-29,THA,data-calls-sms-10-10-14days-nooffer,10GB Texts 30 Calls 15min $35.99 USD Details,,35.99,,6543,3,10.5,3.427619047619048,True,far_from_local_market,17,1.2475,3.9985714285714287,2,Kept,True
vodafone,VENEZUELA,VE,"Venezuela, Bolivarian Republic of",,Standard,2.0,7.0,209.5,USD,N,1.0,2026-06-25,VEN,,2 GB 7 Days (VENEZUELA),179.0,209.5,,8134,3,19.999999999999996,10.475000000000001,True,far_from_local_market,3,12.679425837320574,15.566666666666665,3,Kept,True
vodafone,VENEZUELA,VE,"Venezuela, Bolivarian Republic of",,Standard,3.0,15.0,291.5,USD,N,1.0,2026-06-25,VEN,,3 GB 15 Days (VENEZUELA),249.0,291.5,,8135,3,22.990000000000002,12.679425837320574,True,far_from_local_market,3,12.679425837320574,15.566666666666665,3,Kept,True
vodafone,VENEZUELA,VE,"Venezuela, Bolivarian Republic of",,Standard,5.0,30.0,467.0,USD,N,1.0,2026-06-25,VEN,,5 GB 30 Days (VENEZUELA),399.0,467.0,,8136,3,30.000000000000004,15.566666666666665,True,far_from_local_market,3,12.679425837320574,15.566666666666665,3,Kept,True
