Provider,ISO,Country,URL,Plan,GB,Days,Price,Currency,Price_EUR,ISO3,Type,Cost,Cost_Floor_Reference,SurfaceModeUsed,PricingSourceUsed,PricingUnitIdUsed,PricingRegionUsed,PricingUnitCountriesUsed,Is_Below_Cost_Floor,Cost_Floor_Gap,sku_scope_key,SKU,OverridePrice,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CompetitorTargetPricePerGB,CompetitorMinPricePerGB,HTPricePerGB,EUR_TO_USD
HT,AD,Andorra,,Basic,0.5,1.0,3.45,EUR,3.45,,cost,2.7554758656,4.026061487295999,unit,iso_only,AD,,"[""AD""]",True,0.5760614872959993,,AD_BASIC_1,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,1.0,2.0,4.35,EUR,4.35,,cost,5.275635774385169,7.264466970084942,unit,iso_only,AD,,"[""AD""]",True,2.914466970084942,,AD_BASIC_2,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,1.25,3.0,5.05,EUR,5.05,,cost,7.757080404300542,10.453123319526195,unit,iso_only,AD,,"[""AD""]",True,5.403123319526196,,AD_BASIC_3,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,1.75,4.0,5.9,EUR,5.9,,cost,10.2184845312,13.616027622592,unit,iso_only,AD,,"[""AD""]",True,7.716027622592,,AD_BASIC_4,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,2.25,5.0,6.8,EUR,6.8,,cost,12.667081672286711,16.762474948888425,unit,iso_only,AD,,"[""AD""]",True,9.962474948888424,,AD_BASIC_5,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,2.5,6.0,7.4,EUR,7.4,,cost,15.10658161556611,19.897232376002453,unit,iso_only,AD,,"[""AD""]",True,12.497232376002453,,AD_BASIC_6,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,3.0,7.0,8.2,EUR,8.2,,cost,17.539188145278256,23.02313176668256,unit,iso_only,AD,,"[""AD""]",True,14.823131766682561,,AD_BASIC_7,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,3.25,8.0,8.75,EUR,8.75,,cost,19.966337148770336,26.142018236169882,unit,iso_only,AD,,"[""AD""]",True,17.392018236169882,,AD_BASIC_8,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,3.75,9.0,9.55,EUR,9.55,,cost,22.3890259968,29.255173405888,unit,iso_only,AD,,"[""AD""]",True,19.705173405888,,AD_BASIC_9,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,4.0,10.0,10.1,EUR,10.1,,cost,24.807980868945055,32.363530416594394,unit,iso_only,AD,,"[""AD""]",True,22.263530416594392,,AD_BASIC_10,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,4.5,11.0,10.85,EUR,10.85,,cost,27.223749972129376,35.46779371418625,unit,iso_only,AD,,"[""AD""]",True,24.61779371418625,,AD_BASIC_11,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,4.75,12.0,11.35,EUR,11.35,,cost,29.636759208601084,38.568510583052394,unit,iso_only,AD,,"[""AD""]",True,27.218510583052392,,AD_BASIC_12,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,5.25,13.0,12.1,EUR,12.1,,cost,32.04734727606004,41.66611624973715,unit,iso_only,AD,,"[""AD""]",True,29.56611624973715,,AD_BASIC_13,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,5.5,14.0,12.55,EUR,12.55,,cost,34.45578878929925,44.76096359424953,unit,iso_only,AD,,"[""AD""]",True,32.210963594249534,,AD_BASIC_14,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,6.0,15.0,13.25,EUR,13.25,,cost,36.862310070282675,47.85334344031323,unit,iso_only,AD,,"[""AD""]",True,34.60334344031323,,AD_BASIC_15,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,6.5,16.0,13.9,EUR,13.9,,cost,39.2671002624,50.943498837183995,unit,iso_only,AD,,"[""AD""]",True,37.043498837183996,,AD_BASIC_16,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,6.75,17.0,14.35,EUR,14.35,,cost,41.67031935747922,54.0316353743608,unit,iso_only,AD,,"[""AD""]",True,39.6816353743608,,AD_BASIC_17,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,7.25,18.0,15.0,EUR,15.0,,cost,44.072104123155505,57.11792879825482,unit,iso_only,AD,,"[""AD""]",True,42.11792879825482,,AD_BASIC_18,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,7.5,19.0,15.4,EUR,15.4,,cost,46.47257256521413,60.202530746300155,unit,iso_only,AD,,"[""AD""]",True,44.80253074630016,,AD_BASIC_19,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,8.0,20.0,16.0,EUR,16.0,,cost,48.871827344573425,63.28557313777685,unit,iso_only,AD,,"[""AD""]",True,47.28557313777685,,AD_BASIC_20,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,8.25,21.0,16.4,EUR,16.4,,cost,51.269958433492256,66.36717158703755,unit,iso_only,AD,,"[""AD""]",True,49.96717158703755,,AD_BASIC_21,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,8.75,22.0,16.95,EUR,16.95,,cost,53.66704520832048,69.44742809269182,unit,iso_only,AD,,"[""AD""]",True,52.49742809269182,,AD_BASIC_22,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,9.0,23.0,17.3,EUR,17.3,,cost,56.06315811833758,72.5264331820638,unit,iso_only,AD,,"[""AD""]",True,55.2264331820638,,AD_BASIC_23,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,9.5,24.0,17.9,EUR,17.9,,cost,58.45836003113222,75.6042676400049,unit,iso_only,AD,,"[""AD""]",True,57.70426764000491,,AD_BASIC_24,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,9.75,25.0,18.2,EUR,18.2,,cost,60.852707328,78.68100391648,unit,iso_only,AD,,"[""AD""]",True,60.48100391647999,,AD_BASIC_25,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,10.25,26.0,18.75,EUR,18.75,,cost,63.24625080388933,81.7567072829978,unit,iso_only,AD,,"[""AD""]",True,63.006707282997795,,AD_BASIC_26,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,10.5,27.0,19.05,EUR,19.05,,cost,65.63903641290163,84.8314367905786,unit,iso_only,AD,,"[""AD""]",True,65.78143679057861,,AD_BASIC_27,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,11.0,28.0,19.55,EUR,19.55,,cost,68.03110589055652,87.90524606936513,unit,iso_only,AD,,"[""AD""]",True,68.35524606936514,,AD_BASIC_28,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,11.25,29.0,19.85,EUR,19.85,,cost,70.42249727684191,90.97818400074185,unit,iso_only,AD,,"[""AD""]",True,71.12818400074184,,AD_BASIC_29,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,11.75,30.0,20.35,EUR,20.35,,cost,72.81324535872466,94.05029528596118,unit,iso_only,AD,,"[""AD""]",True,73.70029528596118,,AD_BASIC_30,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,1.5,1.0,4.35,EUR,4.35,,cost,9.0510163968,12.115831069888,unit,iso_only,AD,,"[""AD""]",True,7.765831069888,,AD_MODERATE_1,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,3.0,2.0,6.35,EUR,6.35,,cost,17.396084923155506,22.839244126254826,unit,iso_only,AD,,"[""AD""]",True,16.489244126254825,,AD_MODERATE_2,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,4.25,3.0,8.1,EUR,8.1,,cost,25.625007612901626,33.4134097825786,unit,iso_only,AD,,"[""AD""]",True,25.313409782578596,,AD_MODERATE_3,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,5.5,4.0,9.85,EUR,9.85,,cost,33.79380879360001,43.91031929977601,unit,iso_only,AD,,"[""AD""]",True,34.06031929977601,,AD_MODERATE_4,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,6.75,5.0,11.55,EUR,11.55,,cost,41.92418901686014,54.35785788666528,unit,iso_only,AD,,"[""AD""]",True,42.807857886665275,,AD_MODERATE_5,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,8.0,6.0,13.2,EUR,13.2,,cost,50.02727764669834,64.77032677600737,unit,iso_only,AD,,"[""AD""]",True,51.57032677600736,,AD_MODERATE_6,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,9.5,7.0,15.05,EUR,15.05,,cost,58.10968603583478,75.15622155604768,unit,iso_only,AD,,"[""AD""]",True,60.106221556047686,,AD_MODERATE_7,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,10.75,8.0,16.55,EUR,16.55,,cost,66.17572184631102,85.52107757250967,unit,iso_only,AD,,"[""AD""]",True,68.97107757250967,,AD_MODERATE_8,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,12.0,9.0,18.0,EUR,18.0,,cost,74.22837719040001,95.86873968966401,unit,iso_only,AD,,"[""AD""]",True,77.86873968966401,,AD_MODERATE_9,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,13.25,10.0,19.4,EUR,19.4,,cost,82.26983060683519,106.20200732978321,unit,iso_only,AD,,"[""AD""]",True,86.80200732978321,,AD_MODERATE_10,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,14.5,11.0,20.75,EUR,20.75,,cost,90.30172671638815,116.52299383055876,unit,iso_only,AD,,"[""AD""]",True,95.77299383055876,,AD_MODERATE_11,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Moderate,15.75,12.0,22.05,EUR,22.05,,cost,98.32534322580325,126.83334104515717,unit,iso_only,AD,,"[""AD""]",True,104.78334104515717,,AD_MODERATE_12,,,,,,,,,,,,1.1401
