Provider,ISO,Country,URL,Plan,GB,Days,Price,Currency,ISO3,Type,Cost,Cost_Floor_Reference,SurfaceModeUsed,PricingSourceUsed,PricingUnitIdUsed,PricingRegionUsed,PricingUnitCountriesUsed,Is_Below_Cost_Floor,Cost_Floor_Gap,sku_scope_key,SKU,OverridePrice,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CompetitorTargetPricePerGB,CompetitorMinPricePerGB,HTPricePerGB
HT,AD,Andorra,,Basic,0.5,1.0,3.75,,,cost,3.20847609790464,4.608166785807462,unit,iso_only,AD,,"[""AD""]",True,0.8581667858074624,,AD_BASIC_1,,,,,,,,,,,
HT,AD,Andorra,,Basic,1.0,2.0,4.75,,,cost,6.1429502956940905,8.378966129966907,unit,iso_only,AD,,"[""AD""]",True,3.6289661299669067,,AD_BASIC_2,,,,,,,,,,,
HT,AD,Andorra,,Basic,1.25,3.0,5.45,,,cost,9.032344422767551,12.091837583256304,unit,iso_only,AD,,"[""AD""]",True,6.6418375832563035,,AD_BASIC_3,,,,,,,,,,,
HT,AD,Andorra,,Basic,1.75,4.0,6.4,,,cost,11.89840338812928,15.774723353746126,unit,iso_only,AD,,"[""AD""]",True,9.374723353746125,,AD_BASIC_4,,,,,,,,,,,
HT,AD,Andorra,,Basic,2.25,5.0,7.35,,,cost,14.749549899210647,19.43844662048568,unit,iso_only,AD,,"[""AD""]",True,12.088446620485682,,AD_BASIC_5,,,,,,,,,,,
HT,AD,Andorra,,Basic,2.5,6.0,7.95,,,cost,17.590103633165178,23.08855816861725,unit,iso_only,AD,,"[""AD""]",True,15.138558168617251,,AD_BASIC_6,,,,,,,,,,,
HT,AD,Andorra,,Basic,3.0,7.0,8.85,,,cost,20.422630676362,26.728355419125172,unit,iso_only,AD,,"[""AD""]",True,17.87835541912517,,AD_BASIC_7,,,,,,,,,,,
HT,AD,Andorra,,Basic,3.25,8.0,9.45,,,cost,23.24880297602818,30.35998682419621,unit,iso_only,AD,,"[""AD""]",True,20.90998682419621,,AD_BASIC_8,,,,,,,,,,,
HT,AD,Andorra,,Basic,3.75,9.0,10.3,,,cost,26.069781870673925,33.984944703816,unit,iso_only,AD,,"[""AD""]",True,23.684944703815997,,AD_BASIC_9,,,,,,,,,,,
HT,AD,Andorra,,Basic,4.0,10.0,10.85,,,cost,28.886412923799625,37.60431560708252,unit,iso_only,AD,,"[""AD""]",True,26.754315607082518,,AD_BASIC_10,,,,,,,,,,,
