Provider,ISO,Country,URL,Plan,GB,Days,Price,Currency,Price_USD,ISO3,Type,Cost,Cost_Floor_Reference,SurfaceModeUsed,PricingSourceUsed,PricingUnitIdUsed,PricingRegionUsed,PricingUnitCountriesUsed,Is_Below_Cost_Floor,Cost_Floor_Gap,sku_scope_key,SKU,OverridePrice,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CompetitorTargetPricePerGB,CompetitorMinPricePerGB,HTPricePerGB,EUR_TO_USD
HT,AD,Andorra,,Basic,0.5,1.0,3.65,USD,3.65,,cost,3.1415180343705598,4.522125674166169,unit,iso_only,AD,,"[""AD""]",True,0.8721256741661692,,AD_BASIC_1,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,1.0,2.0,4.65,USD,4.65,,cost,6.01475234637653,8.21423176509384,unit,iso_only,AD,,"[""AD""]",True,3.56423176509384,,AD_BASIC_2,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,1.25,3.0,5.4,USD,5.4,,cost,8.843847368943047,11.849618869091815,unit,iso_only,AD,,"[""AD""]",True,6.449618869091815,,AD_BASIC_3,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,1.75,4.0,6.35,USD,6.35,,cost,11.650094214021118,15.455646065017136,unit,iso_only,AD,,"[""AD""]",True,9.105646065017137,,AD_BASIC_4,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,2.25,5.0,7.35,USD,7.35,,cost,14.44173981457408,19.042910661727692,unit,iso_only,AD,,"[""AD""]",True,11.692910661727693,,AD_BASIC_5,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,2.5,6.0,8.0,USD,8.0,,cost,17.22301369990692,22.616847604380393,unit,iso_only,AD,,"[""AD""]",True,14.616847604380393,,AD_BASIC_6,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,3.0,7.0,8.9,USD,8.9,,cost,19.99642840443174,26.180685499694786,unit,iso_only,AD,,"[""AD""]",True,17.280685499694783,,AD_BASIC_7,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,3.25,8.0,9.5,USD,9.5,,cost,22.763620983313057,29.73652796355728,unit,iso_only,AD,,"[""AD""]",True,20.23652796355728,,AD_BASIC_8,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,3.75,9.0,10.4,USD,10.4,,cost,25.525728538951682,33.28583617255291,unit,iso_only,AD,,"[""AD""]",True,22.885836172552914,,AD_BASIC_9,,,,,,,,,,,,1.1401
HT,AD,Andorra,,Basic,4.0,10.0,11.0,USD,11.0,,cost,28.28357898868426,36.82967400045927,unit,iso_only,AD,,"[""AD""]",True,25.82967400045927,,AD_BASIC_10,,,,,,,,,,,,1.1401
