"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price"
"orange","Africa","ZA","South Africa","https://travel.orange.com/en/buy-a-sim/offers/africa","Data+Calls+SMS-3","3","7","20.99","USD","","","2026-05-25","ZAF","data-calls-sms-3-3-7days-nooffer","3GB $20.99 USD Details","","20.99"
"orange","Africa","ZA","South Africa","https://travel.orange.com/en/buy-a-sim/offers/africa","Data+Calls+SMS-5","5","7","33.99","USD","","","2026-05-25","ZAF","data-calls-sms-5-5-7days-nooffer","5GB $33.99 USD Details","","33.99"
"orange","Africa","ZA","South Africa","https://travel.orange.com/en/buy-a-sim/offers/africa","Data+Calls+SMS-10","10","14","45.99","USD","","","2026-05-25","ZAF","data-calls-sms-10-10-14days-nooffer","10GB $45.99 USD Details","","45.99"
"orange","Africa","ZA","South Africa","https://travel.orange.com/en/buy-a-sim/offers/africa","Data+Calls+SMS-20","20","14","55.99","USD","","","2026-05-25","ZAF","data-calls-sms-20-20-14days-nooffer","20GB $55.99 USD Details","","55.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-2","2","7","8.99","USD","","","2026-05-25","ALB","data-2-2-7days-nooffer","2GB $8.99 USD Details","","8.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-5","5","7","12.99","USD","","","2026-05-25","ALB","data-5-5-7days-nooffer","5GB $12.99 USD Details","","12.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-10","10","7","19.99","USD","","","2026-05-25","ALB","data-10-10-7days-nooffer","10GB $19.99 USD Details","","19.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-10","10","14","20.99","USD","","","2026-05-25","ALB","data-10-10-14days-nooffer","10GB $20.99 USD Details","","20.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-20","20","14","37.99","USD","","","2026-05-25","ALB","data-20-20-14days-nooffer","20GB $37.99 USD Details","","37.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data+Calls+SMS-20","20","30","48.39","USD","","","2026-05-25","ALB","data-calls-sms-20-20-30days-nooffer","20GB Texts 50 Calls 15min $48.39 USD Details","","48.39"
"orange","Algeria","DZ","Algeria","https://travel.orange.com/en/buy-a-sim/offers/algeria","Data-2","2","30","9.99","USD","","","2026-05-25","DZA","data-2-2-30days-nooffer","2GB $9.99 USD Details","","9.99"
"orange","Algeria","DZ","Algeria","https://travel.orange.com/en/buy-a-sim/offers/algeria","Data-5","5","30","13.99","USD","","","2026-05-25","DZA","data-5-5-30days-nooffer","5GB $13.99 USD Details","","13.99"
"orange","Algeria","DZ","Algeria","https://travel.orange.com/en/buy-a-sim/offers/algeria","Data+Calls+SMS-20","20","30","52.99","USD","","","2026-05-25","DZA","data-calls-sms-20-20-30days-nooffer","20GB Texts 50 Calls 15min $52.99 USD Details","","52.99"
