"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price"
"orange","Afghanistan","AF","Afghanistan","https://travel.orange.com/en/buy-a-sim/offers/afghanistan","Data+Calls+SMS-1","1","30","34.99","USD","","","2026-06-26","AFG","data-calls-sms-1-1-30days-nooffer","1GB $34.99 USD Details","","34.99"
"orange","Africa","ZA","South Africa","https://travel.orange.com/en/buy-a-sim/offers/africa","Data+Calls+SMS-3","3","7","20.99","USD","","","2026-06-26","ZAF","data-calls-sms-3-3-7days-nooffer","3GB $20.99 USD Details","","20.99"
"orange","Africa","ZA","South Africa","https://travel.orange.com/en/buy-a-sim/offers/africa","Data+Calls+SMS-5","5","7","33.99","USD","","","2026-06-26","ZAF","data-calls-sms-5-5-7days-nooffer","5GB $33.99 USD Details","","33.99"
"orange","Africa","ZA","South Africa","https://travel.orange.com/en/buy-a-sim/offers/africa","Data+Calls+SMS-10","10","14","45.99","USD","","","2026-06-26","ZAF","data-calls-sms-10-10-14days-nooffer","10GB $45.99 USD Details","","45.99"
"orange","Africa","ZA","South Africa","https://travel.orange.com/en/buy-a-sim/offers/africa","Data+Calls+SMS-20","20","14","55.99","USD","","","2026-06-26","ZAF","data-calls-sms-20-20-14days-nooffer","20GB $55.99 USD Details","","55.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-1","1","7","4.99","USD","","","2026-06-26","ALB","data-1-1-7days-nooffer","1GB $4.99 USD Details","","4.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-3","3","7","10.99","USD","","","2026-06-26","ALB","data-3-3-7days-nooffer","3GB $10.99 USD Details","","10.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-5","5","7","13.99","USD","","","2026-06-26","ALB","data-5-5-7days-nooffer","5GB $13.99 USD Details","","13.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-10","10","7","20.99","USD","","","2026-06-26","ALB","data-10-10-7days-nooffer","10GB $20.99 USD Details","","20.99"
"orange","Albania","AL","Albania","https://travel.orange.com/en/buy-a-sim/offers/albania","Data-10","10","14","22.99","USD","","","2026-06-26","ALB","data-10-10-14days-nooffer","10GB $22.99 USD Details","","22.99"
