"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price","source"
"saily","Afghanistan","AF","Afghanistan","https://saily.com/esim-afghanistan/","Standard","1","7","5.49","USD","","","2026-06-29","AFG","saily-AFG-Standard-1-7-5.49","Select 1 GB - 7 days for 5.49 USD.","","5.49","visible_text"
"saily","Afghanistan","AF","Afghanistan","https://saily.com/esim-afghanistan/","Standard","3","30","13.99","USD","","","2026-06-29","AFG","saily-AFG-Standard-3-30-13.99","Select 3 GB - 30 days for 13.99 USD.","","13.99","visible_text"
"saily","Afghanistan","AF","Afghanistan","https://saily.com/esim-afghanistan/","Standard","5","30","20.99","USD","","","2026-06-29","AFG","saily-AFG-Standard-5-30-20.99","Select 5 GB - 30 days for 20.99 USD.","","20.99","visible_text"
"saily","Afghanistan","AF","Afghanistan","https://saily.com/esim-afghanistan/","Standard","10","30","33.99","USD","","","2026-06-29","AFG","saily-AFG-Standard-10-30-33.99","Select 10 GB - 30 days for 33.99 USD.","","33.99","visible_text"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Standard","1","7","3.99","USD","","","2026-06-29","ALB","saily-ALB-Standard-1-7-3.99","Select 1 GB - 7 days for 3.99 USD.","","3.99","visible_text"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Standard","3","30","8.99","USD","","","2026-06-29","ALB","saily-ALB-Standard-3-30-8.99","Select 3 GB - 30 days for 8.99 USD.","","8.99","visible_text"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Standard","5","30","12.99","USD","","","2026-06-29","ALB","saily-ALB-Standard-5-30-12.99","Select 5 GB - 30 days for 12.99 USD.","","12.99","visible_text"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Standard","10","30","21.99","USD","","","2026-06-29","ALB","saily-ALB-Standard-10-30-21.99","Select 10 GB - 30 days for 21.99 USD.","","21.99","visible_text"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Standard","20","30","35.99","USD","","","2026-06-29","ALB","saily-ALB-Standard-20-30-35.99","Select 20 GB - 30 days for 35.99 USD.","","35.99","visible_text"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Unlimited","Unlimited","5","25.99","USD","","","2026-06-29","ALB","33837136-3b25-47f5-8b0d-8edb8da2ff88","Select Unlimited - 5 days for 25.99 USD.","","25.99","offer_schema"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Unlimited","Unlimited","10","38.99","USD","","","2026-06-29","ALB","35904675-4455-4cdf-b4d3-dba8b31301b9","Select Unlimited - 10 days for 38.99 USD.","","38.99","offer_schema"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Unlimited","Unlimited","15","57.99","USD","","","2026-06-29","ALB","2f75eea7-f8b6-4203-8758-e3e5625aa1c1","Select Unlimited - 15 days for 57.99 USD.","","57.99","offer_schema"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Unlimited","Unlimited","20","72.99","USD","","","2026-06-29","ALB","7c5677dc-22d4-41a2-9be8-113a9ca6766d","Select Unlimited - 20 days for 72.99 USD.","","72.99","offer_schema"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Unlimited","Unlimited","25","86.99","USD","","","2026-06-29","ALB","88d30722-0ef8-4c88-b53a-5a5c836e61d0","Select Unlimited - 25 days for 86.99 USD.","","86.99","offer_schema"
"saily","Albania","AL","Albania","https://saily.com/esim-albania/","Unlimited","Unlimited","30","98.99","USD","","","2026-06-29","ALB","fe263f83-e8ae-4b81-a814-f1f23131129a","Select Unlimited - 30 days for 98.99 USD.","","98.99","offer_schema"
"saily","Algeria","DZ","Algeria","https://saily.com/esim-algeria/","Standard","1","7","8.99","USD","","","2026-06-29","DZA","saily-DZA-Standard-1-7-8.99","Select 1 GB - 7 days for 8.99 USD.","","8.99","visible_text"
"saily","Algeria","DZ","Algeria","https://saily.com/esim-algeria/","Standard","3","30","14.99","USD","","","2026-06-29","DZA","saily-DZA-Standard-3-30-14.99","Select 3 GB - 30 days for 14.99 USD.","","14.99","visible_text"
"saily","Algeria","DZ","Algeria","https://saily.com/esim-algeria/","Standard","5","30","23.99","USD","","","2026-06-29","DZA","saily-DZA-Standard-5-30-23.99","Select 5 GB - 30 days for 23.99 USD.","","23.99","visible_text"
"saily","Algeria","DZ","Algeria","https://saily.com/esim-algeria/","Standard","10","30","41.99","USD","","","2026-06-29","DZA","saily-DZA-Standard-10-30-41.99","Select 10 GB - 30 days for 41.99 USD.","","41.99","visible_text"
"saily","Andorra","AD","Andorra","https://saily.com/esim-andorra/","Standard","1","7","3.99","USD","","","2026-06-29","AND","saily-AND-Standard-1-7-3.99","Select 1 GB - 7 days for 3.99 USD.","","3.99","visible_text"
