Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Currency,Price_USD,Price_EUR,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoCurrency,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,EUR_TO_USD,CalculatedCostFloor,IsBelowCalculatedCostFloor
HT,,Afghanistan,AF,,0.5,1.0,3.227272727272727,EUR,3.55,3.227272727272727,Basic,AF,iso_only,,"[""AF""]",AF|Basic|1,,,,,,,3.227272727272727,1.1,1.5267893354385247,False
HT,,Afghanistan,AF,,1.0,2.0,4.409090909090908,EUR,4.85,4.409090909090908,Basic,AF,iso_only,,"[""AF""]",AF|Basic|2,,,,,,,4.409090909090908,1.1,2.4605258930992715,False
HT,,Afghanistan,AF,,1.25,3.0,5.181818181818182,EUR,5.7,5.181818181818182,Basic,AF,iso_only,,"[""AF""]",AF|Basic|3,,,,,,,5.181818181818182,1.1,2.9369744188432256,False
HT,,Afghanistan,AF,,1.75,4.0,6.454545454545454,EUR,7.1,6.454545454545454,Basic,AF,iso_only,,"[""AF""]",AF|Basic|4,,,,,,,6.454545454545454,1.1,3.875501099960763,False
HT,,Afghanistan,AF,,2.25,5.0,7.727272727272727,EUR,8.5,7.727272727272727,Basic,AF,iso_only,,"[""AF""]",AF|Basic|5,,,,,,,7.727272727272727,1.1,4.814027781078299,False
HT,,Afghanistan,AF,,2.5,6.0,8.454545454545455,EUR,9.3,8.454545454545455,Basic,AF,iso_only,,"[""AF""]",AF|Basic|6,,,,,,,8.454545454545455,1.1,5.288081245093858,False
HT,,Afghanistan,AF,,3.0,7.0,9.772727272727272,EUR,10.75,9.772727272727272,Basic,AF,iso_only,,"[""AF""]",AF|Basic|7,,,,,,,9.772727272727272,1.1,6.229002987939792,False
HT,,Afghanistan,AF,,3.25,8.0,10.5,EUR,11.55,10.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|8,,,,,,,10.5,1.1,6.70305645195535,False
HT,,Afghanistan,AF,,3.75,9.0,11.772727272727272,EUR,12.95,11.772727272727272,Basic,AF,iso_only,,"[""AF""]",AF|Basic|9,,,,,,,11.772727272727272,1.1,7.641583133072886,False
HT,,Afghanistan,AF,,4.0,10.0,12.454545454545453,EUR,13.7,12.454545454545453,Basic,AF,iso_only,,"[""AF""]",AF|Basic|10,,,,,,,12.454545454545453,1.1,8.11324153536005,False
HT,,Afghanistan,AF,,4.5,11.0,13.727272727272727,EUR,15.1,13.727272727272727,Basic,AF,iso_only,,"[""AF""]",AF|Basic|11,,,,,,,13.727272727272727,1.1,9.051768216477587,False
