Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Currency,Price_USD,Price_EUR,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoCurrency,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,EUR_TO_USD,CalculatedCostFloor,IsBelowCalculatedCostFloor
HT,,Afghanistan,AF,,0.5,1.0,3.55,USD,3.55,3.227272727272727,Basic,AF,iso_only,,"[""AF""]",AF|Basic|1,,,,,,,3.55,1.1,1.6309407689823776,False
HT,,Afghanistan,AF,,1.0,2.0,4.85,USD,4.85,4.409090909090908,Basic,AF,iso_only,,"[""AF""]",AF|Basic|2,,,,,,,4.85,1.1,2.658050982409199,False
HT,,Afghanistan,AF,,1.25,3.0,5.7,USD,5.7,5.181818181818182,Basic,AF,iso_only,,"[""AF""]",AF|Basic|3,,,,,,,5.7,1.1,3.1821443607275484,False
HT,,Afghanistan,AF,,1.75,4.0,7.1,USD,7.1,6.454545454545454,Basic,AF,iso_only,,"[""AF""]",AF|Basic|4,,,,,,,7.1,1.1,4.21452370995684,False
HT,,Afghanistan,AF,,2.25,5.0,8.5,USD,8.5,7.727272727272727,Basic,AF,iso_only,,"[""AF""]",AF|Basic|5,,,,,,,8.5,1.1,5.24690305918613,False
HT,,Afghanistan,AF,,2.5,6.0,9.3,USD,9.3,8.454545454545455,Basic,AF,iso_only,,"[""AF""]",AF|Basic|6,,,,,,,9.3,1.1,5.768361869603245,False
HT,,Afghanistan,AF,,3.0,7.0,10.75,USD,10.75,9.772727272727272,Basic,AF,iso_only,,"[""AF""]",AF|Basic|7,,,,,,,10.75,1.1,6.803375786733771,False
HT,,Afghanistan,AF,,3.25,8.0,11.55,USD,11.55,10.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|8,,,,,,,11.55,1.1,7.324834597150886,False
HT,,Afghanistan,AF,,3.75,9.0,12.95,USD,12.95,11.772727272727272,Basic,AF,iso_only,,"[""AF""]",AF|Basic|9,,,,,,,12.95,1.1,8.357213946380176,False
HT,,Afghanistan,AF,,4.0,10.0,13.7,USD,13.7,12.454545454545453,Basic,AF,iso_only,,"[""AF""]",AF|Basic|10,,,,,,,13.7,1.1,8.876038188896056,False
HT,,Afghanistan,AF,,4.5,11.0,15.1,USD,15.1,13.727272727272727,Basic,AF,iso_only,,"[""AF""]",AF|Basic|11,,,,,,,15.1,1.1,9.908417538125347,False
HT,,Afghanistan,AF,,4.75,12.0,15.8,USD,15.8,14.363636363636363,Basic,AF,iso_only,,"[""AF""]",AF|Basic|12,,,,,,,15.8,1.1,10.424607212739993,False
HT,,Afghanistan,AF,,5.25,13.0,17.15,USD,17.15,15.590909090909088,Basic,AF,iso_only,,"[""AF""]",AF|Basic|13,,,,,,,17.15,1.1,11.454351994068048,False
HT,,Afghanistan,AF,,5.5,14.0,17.85,USD,17.85,16.227272727272727,Basic,AF,iso_only,,"[""AF""]",AF|Basic|14,,,,,,,17.85,1.1,11.970541668682696,False
HT,,Afghanistan,AF,,6.0,15.0,19.1,USD,19.1,17.363636363636363,Basic,AF,iso_only,,"[""AF""]",AF|Basic|15,,,,,,,19.1,1.1,12.995017314208285,False
HT,,Afghanistan,AF,,6.5,16.0,20.35,USD,20.35,18.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|16,,,,,,,20.35,1.1,14.01949295973387,False
HT,,Afghanistan,AF,,6.75,17.0,21.0,USD,21.0,19.09090909090909,Basic,AF,iso_only,,"[""AF""]",AF|Basic|17,,,,,,,21.0,1.1,14.533048066447282,False
HT,,Afghanistan,AF,,7.25,18.0,22.2,USD,22.2,20.18181818181818,Basic,AF,iso_only,,"[""AF""]",AF|Basic|18,,,,,,,22.2,1.1,15.554889144071634,False
HT,,Afghanistan,AF,,7.5,19.0,22.75,USD,22.75,20.68181818181818,Basic,AF,iso_only,,"[""AF""]",AF|Basic|19,,,,,,,22.75,1.1,16.063175114982574,False
HT,,Afghanistan,AF,,8.0,20.0,23.9,USD,23.9,21.727272727272723,Basic,AF,iso_only,,"[""AF""]",AF|Basic|20,,,,,,,23.9,1.1,17.082381624705693,False
HT,,Afghanistan,AF,,8.25,21.0,24.45,USD,24.45,22.227272727272723,Basic,AF,iso_only,,"[""AF""]",AF|Basic|21,,,,,,,24.45,1.1,17.590667595616637,False
HT,,Afghanistan,AF,,8.75,22.0,25.55,USD,25.55,23.227272727272727,Basic,AF,iso_only,,"[""AF""]",AF|Basic|22,,,,,,,25.55,1.1,18.60723953743852,False
HT,,Afghanistan,AF,,9.0,23.0,26.0,USD,26.0,23.636363636363633,Basic,AF,iso_only,,"[""AF""]",AF|Basic|23,,,,,,,26.0,1.1,19.11025637254699,False
