Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CalculatedCostFloor,IsBelowCalculatedCostFloor
HT,,Afghanistan,AF,,0.5,1.0,3.55,Basic,AF,iso_only,,"[""AF""]",AF|Basic|1,,,,,,3.55,1.5437942737101298,False
HT,,Afghanistan,AF,,1.0,2.0,4.85,Basic,AF,iso_only,,"[""AF""]",AF|Basic|2,,,,,,4.85,2.483757991864704,False
HT,,Afghanistan,AF,,1.25,3.0,5.7,Basic,AF,iso_only,,"[""AF""]",AF|Basic|3,,,,,,5.7,2.9642781225469292,False
HT,,Afghanistan,AF,,1.75,4.0,7.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|4,,,,,,7.1,3.909510976503973,False
HT,,Afghanistan,AF,,2.25,5.0,8.5,Basic,AF,iso_only,,"[""AF""]",AF|Basic|5,,,,,,8.5,4.854743830461016,False
HT,,Afghanistan,AF,,2.5,6.0,9.3,Basic,AF,iso_only,,"[""AF""]",AF|Basic|6,,,,,,9.3,5.332629393242007,False
HT,,Afghanistan,AF,,3.0,7.0,10.75,Basic,AF,iso_only,,"[""AF""]",AF|Basic|7,,,,,,10.75,6.280496815100285,False
HT,,Afghanistan,AF,,3.25,8.0,11.55,Basic,AF,iso_only,,"[""AF""]",AF|Basic|8,,,,,,11.55,6.758382377881276,False
HT,,Afghanistan,AF,,3.75,9.0,12.95,Basic,AF,iso_only,,"[""AF""]",AF|Basic|9,,,,,,12.95,7.703615231838318,False
HT,,Afghanistan,AF,,4.0,10.0,13.7,Basic,AF,iso_only,,"[""AF""]",AF|Basic|10,,,,,,13.7,8.178866226718075,False
HT,,Afghanistan,AF,,4.5,11.0,15.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|11,,,,,,15.1,9.124099080675117,False
HT,,Afghanistan,AF,,4.75,12.0,15.8,Basic,AF,iso_only,,"[""AF""]",AF|Basic|12,,,,,,15.8,9.596715507653641,False
HT,,Afghanistan,AF,,5.25,13.0,17.15,Basic,AF,iso_only,,"[""AF""]",AF|Basic|13,,,,,,17.15,10.539313793709448,False
HT,,Afghanistan,AF,,5.5,14.0,17.85,Basic,AF,iso_only,,"[""AF""]",AF|Basic|14,,,,,,17.85,11.011930220687972,False
HT,,Afghanistan,AF,,6.0,15.0,19.1,Basic,AF,iso_only,,"[""AF""]",AF|Basic|15,,,,,,19.1,11.949259370941313,False
HT,,Afghanistan,AF,,6.5,16.0,20.35,Basic,AF,iso_only,,"[""AF""]",AF|Basic|16,,,,,,20.35,12.88658852119465,False
