Provider,ReferenceProvider,Country,ISO,ISO3,GB,Days,Price,Plan,PricingUnitIdUsed,PricingSourceUsed,PricingRegionUsed,PricingUnitCountriesUsed,PromoScopeKey,PromoCode,PromoType,PromoValue,PromoLabel,PromoBasePrice,FinalPriceAfterPromo,CalculatedCostFloor,IsBelowCalculatedCostFloor
HT,,EU,EU,,0.5,1.0,3.5,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|1.0,,,,,,3.5,0.82390476,False
HT,,EU,EU,,1.0,2.0,4.2,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|2.0,,,,,,4.2,1.08413452,False
HT,,EU,EU,,1.25,3.0,4.65,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|3.0,,,,,,4.65,1.2170494,False
HT,,EU,EU,,1.75,4.0,5.3,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|4.0,,,,,,5.3,1.354955,False
HT,,EU,EU,,2.25,5.0,6.1,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|5.0,,,,,,6.1,1.5834349999999997,False
HT,,EU,EU,,2.5,6.0,6.65,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|6.0,,,,,,6.65,1.7018749999999998,False
HT,,EU,EU,,3.0,7.0,7.45,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|7.0,,,,,,7.45,1.9303549999999996,False
HT,,EU,EU,,3.25,8.0,7.85,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|8.0,,,,,,7.85,2.0445949999999997,False
HT,,EU,EU,,3.75,9.0,8.65,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|9.0,,,,,,8.65,2.2730749999999995,False
HT,,EU,EU,,4.0,10.0,9.1,Basic,EU,region_max,EU,"[""AT"", ""BE"", ""BG"", ""CY"", ""CZ"", ""DE"", ""DK"", ""EE"", ""ES"", ""FI"", ""FR"", ""GR"", ""HR"", ""HU"", ""IE"", ""IT"", ""LT"", ""LU"", ""LV"", ""MT"", ""NL"", ""PL"", ""PT"", ""RO"", ""SE"", ""SI"", ""SK""]",EU|Basic|10.0,,,,,,9.1,2.3887149999999995,False
