Provider,ProviderCountry,ISO,Country,URL,Plan,GB,Days,Price,Currency,SpecialOffer,OfferPonder,PriceDate,ISO3,variant_id,name,eur_price,usd_price,source,_original_row,NeighborCount,LocalRefPrice,MarketRatio,RowFlag,RowReason,MatchedOffers,MedianRatio,MaxRatio,FlaggedRows,ProviderStatus,UseForPricing
airalo,Sint Eustatius,BQ,"Bonaire, Sint Eustatius and Saba",https://www.airalo.com/sint-eustatius-esim,Standard,10.0,15.0,48.0,USD,,,2026-06-15,BES,10gb-15days,Select 10 GB - 15 days for $48.00 USD.,48.0,48.0,,1732,2,13.729530217745982,3.4961137955003028,True,far_from_local_market,13,2.257906826260612,3.4961137955003028,1,Kept,True
orange,Georgia,GE,Georgia,https://travel.orange.com/en/buy-a-sim/offers/georgia,Data-100,100.0,30.0,140.99,USD,,,2026-06-15,GEO,data-100-100-30days-nooffer,100GB $140.99 USD Details,,140.99,,3428,2,40.81666326391709,3.454226502748904,True,far_from_local_market,14,1.0983587011669202,3.5032260985039065,2,Kept,True
orange,Georgia,GE,Georgia,https://travel.orange.com/en/buy-a-sim/offers/georgia,Data-100,100.0,45.0,142.99,USD,,,2026-06-15,GEO,data-100-100-45days-nooffer,100GB $142.99 USD Details,,142.99,,3429,2,40.81666326391709,3.5032260985039065,True,far_from_local_market,14,1.0983587011669202,3.5032260985039065,2,Kept,True
airalo,Ghana,GH,Ghana,https://www.airalo.com/ghana-esim,Standard,20.0,15.0,48.0,USD,,,2026-06-15,GHA,20gb-15days,Select 20 GB - 15 days for $48.00 USD.,48.0,48.0,,663,2,13.19090595827292,3.638870609178736,True,far_from_local_market,10,1.371212121212121,3.638870609178736,1,Kept,True
airalo,Kenya,KE,Kenya,https://www.airalo.com/kenya-esim,Standard,10.0,7.0,47.0,USD,,,2026-06-15,KEN,10gb-7days,Select 10 GB - 7 days for $47.00 USD.,47.0,47.0,,956,3,15.0,3.1333333333333333,True,far_from_local_market,8,1.7549456546455047,3.1333333333333333,1,Kept,True
vodafone,MONACO,MC,Monaco,,Standard,3.0,15.0,34.0,USD,N,1.0,2026-06-11,MCO,,3 GB 15 Days (MONACO),29.0,34.0,,5827,3,11.000000000000002,3.0909090909090904,True,far_from_local_market,2,2.954545454545454,3.0909090909090904,1,Kept,True
orange,New Zealand,NZ,New Zealand,https://travel.orange.com/en/buy-a-sim/offers/new-zealand,Data+Calls+SMS-5,5.0,30.0,41.99,USD,,,2026-06-15,NZL,data-calls-sms-5-5-30days-nooffer,5GB Texts 50 Calls 15min $41.99 USD Details,,41.99,,3996,3,13.99,3.0014295925661187,True,far_from_local_market,16,1.1914259549973836,3.0014295925661187,1,Kept,True
orange,Nicaragua,NI,Nicaragua,https://travel.orange.com/en/buy-a-sim/offers/nicaragua,Data-50,50.0,30.0,107.99,USD,,,2026-06-15,NIC,data-50-50-30days-nooffer,50GB $107.99 USD Details,,107.99,,4013,3,34.00000000000001,3.1761764705882345,True,far_from_local_market,10,2.2307454361054764,3.847284807402924,2,Kept,True
orange,Nicaragua,NI,Nicaragua,https://travel.orange.com/en/buy-a-sim/offers/nicaragua,Data-100,100.0,30.0,184.99,USD,,,2026-06-15,NIC,data-100-100-30days-nooffer,100GB $184.99 USD Details,,184.99,,4014,2,48.08326112068524,3.847284807402924,True,far_from_local_market,10,2.2307454361054764,3.847284807402924,2,Kept,True
orange,Peru,PE,Peru,https://travel.orange.com/en/buy-a-sim/offers/peru,Data+Calls+SMS-100,100.0,30.0,143.99,USD,,,2026-06-15,PER,data-calls-sms-100-100-30days-nooffer,100GB Texts 50 Calls 60min $143.99 USD Details,,143.99,,4098,3,42.50000000000001,3.3879999999999995,True,far_from_local_market,16,1.241579185520362,3.3879999999999995,1,Kept,True
orange,Africa,ZA,South Africa,https://travel.orange.com/en/buy-a-sim/offers/africa,Data+Calls+SMS-5,5.0,7.0,33.99,USD,,,2026-06-15,ZAF,data-calls-sms-5-5-7days-nooffer,5GB $33.99 USD Details,,33.99,,2895,3,9.500000000000002,3.577894736842105,True,far_from_local_market,18,1.2548026315789473,3.999166666666667,3,Kept,True
